Year-Month,Atvinnulausir,Starfandi
2014M12,8400,172600
2015M01,9300,172200
2015M02,9600,173200
2015M03,9100,177000
2015M04,11300,176000
2015M05,14100,179000
2015M06,6400,193800
2015M07,6900,186300
2015M08,8200,185800
2015M09,7800,178800
2015M10,7700,176500
2015M11,7800,183200
2015M12,3600,182100
2016M01,6000,181300
2016M02,6800,181600
2016M03,7900,180400
2016M04,10200,183300
2016M05,8600,191300
2016M06,4800,193000
2016M07,4300,195900
2016M08,6500,195200
2016M09,6400,186200
2016M10,5500,185700
2016M11,5000,191000
2016M12,5900,188800
2017M01,8800,178900
2017M02,6900,187000
2017M03,4400,194800
2017M04,6900,188400
2017M05,12000,188600
2017M06,5500,196400
2017M07,2200,194500
2017M08,5800,192300
2017M09,6200,186000
2017M10,7800,188900
2017M11,3400,190300
2017M12,7300,190300
2018M01,8700,188800
2018M02,4700,185800
2018M03,4800,192400
2018M04,9200,189000
2018M05,9100,193400
2018M06,6000,200200
2018M07,6000,201300
2018M08,6000,197100
2018M09,3200,194700
2018M10,6500,192700
2018M11,7000,191900
2018M12,3100,190900
2019M01,6800,195400
2019M02,7200,187000
2019M03,7100,196600
2019M04,9100,197200
2019M05,13500,191200
2019M06,7200,204800
2019M07,5700,204000
2019M08,9400,190800
2019M09,6900,194400
2019M10,7400,197400
2019M11,7200,188500
2019M12,8000,192400
2020M01,8500,194800
2020M02,12300,184700
2020M03,5500,191200
2020M04,15300,176100
2020M05,24000,182400
2020M06,9100,203200
2020M07,13200,196400
2020M08,13700,194900
2020M09,8900,193100
2020M10,17300,181000
2020M11,14200,184200
2020M12,13900,187900
2021M01,17100,182300
2021M02,12300,188300
2021M03,16700,186200
2021M04,22200,184000
2021M05,17600,192900
2021M06,10200,206700
2021M07,8800,206600
2021M08,10900,200800
2021M09,5900,202000
2021M10,11600,198900
2021M11,7100,203100
2021M12,9200,199700
2022M01,7000,204800
2022M02,9200,206200
2022M03,9900,201400
2022M04,7900,203100
2022M05,13100,211900
2022M06,7500,216800
2022M07,7500,212300
2022M08,8500,210400
2022M09,5900,209200
2022M10,5800,212300
2022M11,9100,215100
2022M12,6600,209700
2023M01,7100,217400
2023M02,11000,206700
2023M03,7200,212700
2023M04,6600,219900
2023M05,11900,215300
2023M06,5100,231100
2023M07,5800,227300
2023M08,7200,225900
2023M09,7500,214500
2023M10,7200,222800
2023M11,6400,222800
2023M12,8500,215300
2024M01,10300,221500
2024M02,8300,220500
2024M03,10400,220500
2024M04,10300,228000
2024M05,9700,231900
2024M06,6000,238900
2024M07,5000,242000
2024M08,6000,242300
2024M09,10900,225900
2024M10,7200,230600
2024M11,5400,222600
2024M12,8800,224400
